X,Y,OBJECTID,NAME,LINES,ATCOCODE,MODES,ACCESSIBILITY,NIGHT_TUBE,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
528534.7964,188180.791099999,472,Highgate,Northern,940GZZLUHGT,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Highgate station
496079.3711,201633.0847,473,Chesham,Metropolitan,940GZZLUCSM,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Chesham station
505715.6061,194601.2017,474,Rickmansworth,Metropolitan,940GZZLURKW,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Rickmansworth station
508606.4789,193502.849199999,475,Moor Park,Metropolitan,940GZZLUMPK,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Moor Park station
509229.7103,191418.7435,476,Northwood,Metropolitan,940GZZLUNOW,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Northwood station
507909.4599,195402.8332,477,Croxley,Metropolitan,940GZZLUCXY,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Croxley station
509569.47,196595.9617,478,Watford,Metropolitan,940GZZLUWAF,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Watford station
532439.9633,179751.461100001,479,Borough,Northern,940GZZLUBOR,"bus, tube",Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Borough station
532764.4507,182418.811100001,480,Old Street,Northern,940GZZLUODS,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Old Street station
531560.5615,183099.9257,481,Angel,Northern,940GZZLUAGL,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Angel station
522985.7318,188635.9596,482,Hendon Central,Northern,940GZZLUHCL,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Hendon Central station
533642.8986,188930.9134,483,Seven Sisters,Victoria,940GZZLUSVS,tube,Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Seven Sisters station
545541.5127,199100.828500001,484,Theydon Bois,Central,940GZZLUTHB,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Theydon Bois station
516727.9918,188314.4716,485,Kenton,Bakerloo,940GZZLUKEN,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Kenton station
525718.4454,192588.1262,486,Woodside Park,Northern,940GZZLUWOP,"tube, bus",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Woodside Park station
518249.3308,187281.8291,487,Preston Road,Metropolitan,940GZZLUPRD,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Preston Road station
