station,lon,lat,Annualised
abbey road,0.0036857609977698313,51.532374927988755,1239461.87026441
abbey wood,0.12054450171194857,51.49107397335058,16158272.8151207
acton central,-0.2629281251126001,51.5084850504427,1522094.13009327
acton main line,-0.26762077574275817,51.517083240523654,3199861.03180278
acton town,-0.28002176408560253,51.50264555083836,4848680.46839824
aldgate,-0.07584896688802756,51.51449244157986,7269555.437238
aldgate east,-0.07115364166807008,51.51542691621207,11798767.6758748
all saints,-0.01307594420228851,51.51102339340321,1689223.36297385
alperton,-0.29994934997251294,51.540730963558445,2485771.93774472
amersham,-0.6077052134228341,51.674145407023566,1820621.16121922
anerley,-0.06541533480384165,51.412737008190156,1191330.40273541
angel,-0.10472643840232035,51.53148758749647,12151346.651663
archway,-0.13505202452388373,51.56453819250786,7026685.88963483
arnos grove,-0.1330451742909315,51.61645247794507,3147496.7713861
arsenal,-0.10728530327692842,51.558615856035566,2176172.76062204
baker street,-0.15705815977299456,51.52300200371081,21958202.1870765
balham,-0.15269122947563085,51.44362737290878,9809572.72955976
bank,-0.08890808727118107,51.513425435909184,38386247.6371833
barbican,-0.0987999629121527,51.52020860015383,5151896.90798465
barking,0.08018208014455507,51.539885097485445,17465769.6954707
barking riverside,0.11588824903287065,51.51927191934533,1002799.01422112
barkingside,0.08862520423436726,51.58570377518844,1204304.12246804
barons court,-0.21468405012348488,51.49029837209942,5484896.56798224
battersea power station,-0.1434008238398742,51.47947593806482,8845028.51335938
bayswater,-0.1879225224209527,51.51232394663448,3699189.37708817
beckton,0.06181424352749826,51.514416825474704,1967808.12394468
beckton park,0.05493012781653366,51.50877344229744,494337.651732579
becontree,0.1273417848283317,51.54034470776378,2838662.88294444
belsize park,-0.16462098681641144,51.550325700776206,5048324.34078528
bermondsey,-0.06435917646629302,51.497702381206565,7009930.8343859
bethnal green,-0.05469030192583056,51.527237667207054,11323931.46958253
blackfriars,-0.10362963813725404,51.511624767475574,10674181.3187378
blackhorse road,-0.041793873795219,51.58684059439298,9067591.64964835
blackwall,-0.007170755272483394,51.507964644879095,1394219.19217342
bond street,-0.1496811425789451,51.51437958002912,39386088.6624401
borough,-0.0933129512735988,51.5011913652754,4001971.3255394
boston manor,-0.32559520873087633,51.4952196749701,1364047.79026645
bounds green,-0.12434197787111506,51.607063786857424,4134331.16593839
bow church,-0.020800084864193928,51.5276649933369,3045187.11146378
bow road,-0.02520321216907312,51.526902665586434,4167116.90911555
brent cross,-0.21378475842151334,51.576668983672164,1745586.32501437
brentwood,0.3008362166569427,51.61355363968187,3282094.84346535
brixton,-0.1148949328839154,51.462667093564654,20493149.0096247
brockley,-0.037603786103343945,51.464423423644476,3768740.75351696
bromley-by-bow,-0.011461459462546699,51.524760125717506,3759106.62844871
brondesbury,-0.2023530665906043,51.54514144907032,2404106.11108205
brondesbury park,-0.21049859739451113,51.5404117461635,1238246.35686925
bruce grove,-0.06995659124243653,51.59388698717095,1250017.81167085
buckhurst hill,0.04682407515656278,51.62598289702701,2143557.50679715
burnham,-0.6471572492643463,51.52348862374519,2328903.84586742
burnt oak,-0.26399369483295404,51.602834176714175,4494739.60940725
bush hill park,-0.06926138190158655,51.64148848637274,2107543.88253972
bushey,-0.38531669203634156,51.64470920577119,2059961.15431753
caledonian road,-0.11847347641237985,51.54852353192346,3692126.64783067
caledonian road & barnsbury,-0.11436621192921673,51.54368460675732,2040369.58753309
cambridge heath,-0.05742583767930712,51.532182594359064,1622377.61795318
camden road,-0.13913718495449207,51.541901573300976,4118360.55224332
camden town,-0.14262297026124623,51.53923059833878,17977494.2123155
canada water,-0.04998716495699077,51.49792096344705,9721415.35021283
canary wharf,-0.01775363971134798,51.50343011540574,60336543.7507081
