scenario,rank,lat,lon,score
"beta=1.0, radius=2500m",1,51.52936821046768,-0.19574224518064434,5.561984745016789
"beta=1.0, radius=2500m",2,51.545036104765906,-0.05090136423119682,5.556025173487604
"beta=1.0, radius=2500m",3,51.527063696980456,-0.051669012560360064,5.555121389004201
"beta=1.0, radius=2500m",4,51.53813259558579,-0.1809758497057605,5.551143627075692
"beta=1.0, radius=2500m",5,51.51451738801217,-0.41251138696763134,5.53846824237924
"beta=1.5, radius=2500m",1,51.51451738801217,-0.41251138696763134,4.6100609930339225
"beta=1.5, radius=2500m",2,51.34873110146516,-0.14540536313387087,3.4313004499021376
"beta=1.5, radius=2500m",3,51.545036104765906,-0.05090136423119682,3.2034996578563955
"beta=1.5, radius=2500m",4,51.527063696980456,-0.051669012560360064,2.931212037534923
"beta=1.5, radius=2500m",5,51.459389977955524,-0.32805674013522895,2.8690039773137097
"beta=2.0, radius=2500m",1,51.51451738801217,-0.41251138696763134,4.032954293429777
"beta=2.0, radius=2500m",2,51.34873110146516,-0.14540536313387087,2.6173418574222183
"beta=2.0, radius=2500m",3,51.545036104765906,-0.05090136423119682,1.8174345568317791
"beta=2.0, radius=2500m",4,51.426501984002556,0.044745173864830456,1.7724053956832069
"beta=2.0, radius=2500m",5,51.459389977955524,-0.32805674013522895,1.7699587793040958
"beta=1.5, radius=2000m",1,51.51451738801217,-0.41251138696763134,4.606569099037972
"beta=1.5, radius=2000m",2,51.34873110146516,-0.14540536313387087,3.424881860019918
"beta=1.5, radius=2000m",3,51.545036104765906,-0.05090136423119682,3.1713758133052865
"beta=1.5, radius=2000m",4,51.527063696980456,-0.051669012560360064,2.88971417286711
"beta=1.5, radius=2000m",5,51.459389977955524,-0.32805674013522895,2.849574199565356
"beta=1.5, radius=3000m",1,51.51451738801217,-0.41251138696763134,4.612483692780016
"beta=1.5, radius=3000m",2,51.34873110146516,-0.14540536313387087,3.4386596323117753
"beta=1.5, radius=3000m",3,51.545036104765906,-0.05090136423119682,3.2294453877872855
"beta=1.5, radius=3000m",4,51.527063696980456,-0.051669012560360064,2.961056237331753
"beta=1.5, radius=3000m",5,51.459389977955524,-0.32805674013522895,2.884657370976587
