lat,lon,score,scenario
51.51451738801217,-0.4125113869676313,0.4865163438180628,Literature baseline (0.35/0.30/0.20/0.15)
51.34873110146516,-0.1454053631338708,0.42266361469255975,Literature baseline (0.35/0.30/0.20/0.15)
51.42650198400256,0.0447451738648304,0.42234545363335524,Literature baseline (0.35/0.30/0.20/0.15)
51.462445244113255,0.0463514698518812,0.37874545669058174,Literature baseline (0.35/0.30/0.20/0.15)
51.53722464685698,-0.1233336785621886,0.3767362361604494,Literature baseline (0.35/0.30/0.20/0.15)
51.53722464685698,-0.1233336785621886,0.3794692518193019,Equal (0.25 each)
51.51451738801217,-0.4125113869676313,0.3663808429883874,Equal (0.25 each)
51.42650198400256,0.0447451738648304,0.33099458403929627,Equal (0.25 each)
51.34873110146516,-0.1454053631338708,0.3212068892108739,Equal (0.25 each)
51.49986501931261,-0.0384212312803503,0.31635342461579696,Equal (0.25 each)
51.51451738801217,-0.4125113869676313,0.6198285057930325,Demand-dominant (0.55)
51.34873110146516,-0.1454053631338708,0.49044691464261264,Demand-dominant (0.55)
51.42650198400256,0.0447451738648304,0.44611807595808534,Demand-dominant (0.55)
51.45938997795552,-0.3280567401352289,0.4119715567286685,Demand-dominant (0.55)
51.462445244113255,0.0463514698518812,0.411658380699686,Demand-dominant (0.55)
51.28721622418817,0.2823607198664671,0.55,Connectivity-dominant (0.55)
51.28749472855728,0.2680325102451708,0.5437711645791511,Connectivity-dominant (0.55)
51.29620086895624,0.2828063711459667,0.540911351114401,Connectivity-dominant (0.55)
51.28777148077928,0.2537040721797658,0.5378244598075538,Connectivity-dominant (0.55)
51.29647946226734,0.2684753693561041,0.5347268293093468,Connectivity-dominant (0.55)
51.53722464685698,-0.1233336785621886,0.6276815510915812,Crowding-dominant (0.55)
51.49986501931261,-0.0384212312803503,0.35623715373011544,Crowding-dominant (0.55)
51.48421109191548,-0.1831223822779931,0.3243677916504638,Crowding-dominant (0.55)
51.48376151963265,-0.1543348881555906,0.2857474681662289,Crowding-dominant (0.55)
51.47408731008612,-0.1115262944686426,0.2838875635509236,Crowding-dominant (0.55)
51.462445244113255,0.0463514698518812,0.23848209631176465,Travel-time-dominant (0.55)
51.53722464685698,-0.1233336785621886,0.2276815510915811,Travel-time-dominant (0.55)
51.51451738801217,-0.4125113869676313,0.21982850579303245,Travel-time-dominant (0.55)
51.54356758210127,0.0355671281399788,0.21439921055953293,Travel-time-dominant (0.55)
51.42650198400256,0.0447451738648304,0.2140319848385477,Travel-time-dominant (0.55)
51.51451738801217,-0.4125113869676313,0.5066518446477383,Demand + Connectivity (0.35/0.35/0.15/0.15)
51.42650198400256,0.0447451738648304,0.4556748004475298,Demand + Connectivity (0.35/0.35/0.15/0.15)
51.34873110146516,-0.1454053631338708,0.4496896448952235,Demand + Connectivity (0.35/0.35/0.15/0.15)
51.462445244113255,0.0463514698518812,0.40551614212119597,Demand + Connectivity (0.35/0.35/0.15/0.15)
51.39250587945591,-0.0717652226973486,0.3945566948307605,Demand + Connectivity (0.35/0.35/0.15/0.15)
51.53722464685698,-0.1233336785621886,0.5131740870007295,Demand + Crowding (0.35/0.15/0.35/0.15)
51.51451738801217,-0.4125113869676313,0.42610984132903645,Demand + Crowding (0.35/0.15/0.35/0.15)
51.49986501931261,-0.0384212312803503,0.34715404304940634,Demand + Crowding (0.35/0.15/0.35/0.15)
51.34873110146516,-0.1454053631338708,0.3415855240845685,Demand + Crowding (0.35/0.15/0.35/0.15)
51.48421109191548,-0.1831223822779931,0.33977734919830405,Demand + Crowding (0.35/0.15/0.35/0.15)
51.53722464685698,-0.1233336785621886,0.44576441663787414,Connectivity + Crowding (0.15/0.35/0.35/0.15)
51.49986501931261,-0.0384212312803503,0.3687653556625062,Connectivity + Crowding (0.15/0.35/0.35/0.15)
51.28721622418817,0.2823607198664671,0.35,Connectivity + Crowding (0.15/0.35/0.35/0.15)
51.28749472855728,0.2680325102451708,0.3460361956412779,Connectivity + Crowding (0.15/0.35/0.35/0.15)
51.29620086895624,0.2828063711459667,0.34421631434552785,Connectivity + Crowding (0.15/0.35/0.35/0.15)
