Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early,AM Peak,Midday,PM Peak,Evening,Late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ROVd_DLR_IB>CNTu_DLRc_IB@DLR,DLR,IB,13,886,ROVd,Royal Victoria,884,CNTu,Canning Town,122,10,20,38,20,18,16,0,0,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,3,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTu_DLRi_IB>STLd_DLR_IB@DLR,DLR,IB,14,884,CNTu,Canning Town (Stratford),889,STLd,Star Lane,176,12,20,68,20,34,22,0,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STLd_DLR_IB>WHMu_DLR_IB@DLR,DLR,IB,15,889,STLd,Star Lane,757,WHMu,West Ham,176,11,20,69,20,33,23,0,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,3,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,3,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,4,2,3,2,4,2,4,2,4,2,4,2,4,2,3,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHMu_DLR_IB>ABRd_DLR_IB@DLR,DLR,IB,16,757,WHMu,West Ham,750,ABRd,Abbey Road,176,11,20,69,20,33,23,0,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRd_DLR_IB>SHSd_DLR_IB@DLR,DLR,IB,17,750,ABRd,Abbey Road,749,SHSd,Stratford High Street,176,11,20,69,20,33,23,0,1,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,1,2,2,1,2,2,1,2,2,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHSd_DLR_IB>SFDu_DLRi_IB@DLR,DLR,IB,18,749,SHSd,Stratford High Street,719,SFDu,Stratford,176,11,20,69,20,33,23,0,1,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,3,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,3,3,3,1,4,2,4,2,4,2,4,2,4,2,4,2,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFDu_DLRi_IB>STId_DLR_IB@DLR,DLR,IB,19,719,SFDu,Stratford,504,STId,Stratford International DLR,176,11,20,69,19,33,24,0,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,2,2,1,2,2,1,2,2,1,2,2,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTu_DLRc_IB>EAId_DLR_IB@DLR,DLR,IB,20,884,CNTu,Canning Town,883,EAId,East India,246,22,40,73,40,37,34,0,1,4,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAId_DLR_IB>BLAd_DLR_IB@DLR,DLR,IB,21,883,EAId,East India,882,BLAd,Blackwall,246,21,40,74,40,36,35,0,1,3,3,4,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLAd_DLR_IB>POPd_DLRc_IB@DLR,DLR,IB,22,882,BLAd,Blackwall,858,POPd,Poplar,245,21,40,72,40,37,35,0,1,3,3,4,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPd_DLRc_IB>WESd_DLR_IB@DLR,DLR,IB,23,858,POPd,Poplar,865,WESd,Westferry,242,21,40,72,40,37,32,0,1,2,4,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEWd_DLR_IB>ELRd_DLR_IB@DLR,DLR,IB,24,940,LEWd,Lewisham DLR,898,ELRd,Elverson Road,278,14,58,76,60,40,30,0,1,1,2,1,3,3,3,4,5,5,5,5,5,5,5,5,5,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELRd_DLR_IB>DEBd_DLR_IB@DLR,DLR,IB,25,898,ELRd,Elverson Road,897,DEBd,Deptford Bridge,278,14,58,75,60,41,30,0,0,2,2,1,2,4,3,3,6,4,5,6,4,5,6,4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEBd_DLR_IB>GREd_DLR_IB@DLR,DLR,IB,26,897,DEBd,Deptford Bridge,928,GREd,Greenwich,278,13,58,76,60,40,31,0,0,2,1,2,2,3,3,4,5,4,6,5,4,6,5,4,6,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,4,6,5,4,6,5,4,6,5,4,6,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREd_DLR_IB>CUSd_DLR_IB@DLR,DLR,IB,27,928,GREd,Greenwich,879,CUSd,Cutty Sark,278,13,58,75,60,41,31,0,0,2,1,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSd_DLR_IB>ISGd_DLR_IB@DLR,DLR,IB,28,879,CUSd,Cutty Sark,856,ISGd,Island Gardens,278,13,58,74,60,41,32,0,0,1,2,1,3,2,4,3,4,6,4,5,6,4,5,6,4,5,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISGd_DLR_IB>MUDd_DLR_IB@DLR,DLR,IB,29,856,ISGd,Island Gardens,857,MUDd,Mudchute,278,12,58,75,60,41,32,0,0,1,2,1,3,2,3,4,4,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUDd_DLR_IB>CROd_DLR_IB@DLR,DLR,IB,30,857,MUDd,Mudchute,854,CROd,Crossharbour,279,13,57,75,60,42,32,0,1,1,2,1,2,3,3,3,5,4,5,6,4,5,6,4,5,6,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,4,5,6,4,5,6,4,5,6,4,5,6,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROd_DLR_IB>SOQd_DLR_IB@DLR,DLR,IB,31,854,CROd,Crossharbour,861,SOQd,South Quay,279,13,57,75,60,42,32,0,0,2,1,2,2,2,4,3,4,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOQd_DLR_IB>HEQd_DLR_IB@DLR,DLR,IB,32,861,SOQd,South Quay,855,HEQd,Heron Quays,279,12,57,76,60,41,33,0,0,2,1,2,2,2,3,4,3,5,6,4,5,6,4,5,6,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,6,4,5,6,4,5,6,4,5,6,4,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEQd_DLR_IB>CAWd_DLRc_IB@DLR,DLR,IB,33,855,HEQd,Heron Quays,842,CAWd,Canary Wharf DLR,234,12,40,72,40,37,33,0,0,1,2,2,1,2,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEQd_DLR_IB>CAWd_DLRs_IB@DLR,DLR,IB,33,855,HEQd,Heron Quays,842,CAWd,Canary Wharf DLR (Stratford),45,0,16,4,20,5,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
