lat,lon,crowding_score,crowding_score_norm,min_distance_to_station_km,top_relieved_stations
51.35,-0.35,0.0,0.0,12.257061631523134,
51.35,-0.34202898550724636,0.0,0.0,11.773644977852587,
51.35,-0.33405797101449275,0.0,0.0,11.296638918528378,
51.35,-0.3260869565217391,0.0,0.0,10.826890797558145,
51.35,-0.31811594202898547,0.0,0.0,10.365387433530985,
51.35,-0.31014492753623185,0.0,0.0,9.91328037967288,
51.35,-0.30217391304347824,0.0,0.0,9.471915232252236,
51.35,-0.2942028985507246,0.0,0.0,9.042865010115493,
51.35,-0.28623188405797095,0.0,0.0,8.62796709847967,
51.35,-0.27826086956521734,0.0,0.0,8.22936232264768,
51.35,-0.2702898550724637,0.0,0.0,7.849533210672257,
51.35,-0.2623188405797101,0.0,0.0,7.491336228517278,
51.35,-0.2543478260869565,0.0,0.0,7.158019620822156,
51.35,-0.24637681159420285,0.0,0.0,6.853214639369502,
51.35,-0.23840579710144924,0.0,0.0,6.580884176364719,
51.35,-0.2304347826086956,0.0,0.0,6.345210940833389,
51.35,-0.22246376811594198,0.0,0.0,6.1504103076208425,
51.35,-0.21449275362318837,0.0,0.0,6.000464296763549,
51.35,-0.20652173913043473,0.0,0.0,5.898794485242863,
51.35,-0.19855072463768111,0.0,0.0,5.8479193542295995,
51.35,-0.19057971014492747,0.0,0.0,5.8491644674362275,
51.35,-0.18260869565217386,0.0,0.0,5.902496841133905,
51.35,-0.17463768115942024,0.0,0.0,6.006529176121659,
51.35,-0.1666666666666666,0.0,0.0,6.1586927431475,
51.35,-0.158695652173913,0.0,0.0,6.355531419198448,
51.35,-0.15072463768115937,0.0,0.0,6.593045022010989,
51.35,-0.14275362318840573,0.0,0.0,6.867014299803204,
51.35,-0.13478260869565212,0.0,0.0,7.173263397587483,
51.35,-0.1268115942028985,0.0,0.0,7.507843215189583,
51.35,-0.11884057971014486,0.0,0.0,7.867139966580865,
51.35,-0.11086956521739125,0.0,0.0,7.656124953223662,
51.35,-0.1028985507246376,0.0,0.0,7.445275749143458,
51.35,-0.09492753623188399,0.0,0.0,7.270492135517165,
51.35,-0.08695652173913038,0.0,0.0,7.134425279254323,
51.35,-0.07898550724637676,0.0,0.0,7.039320671902948,
51.35,-0.07101449275362309,0.0,0.0,6.986851242039915,
51.35,-0.06304347826086948,0.0,0.0,6.977978815065431,
51.35,-0.055072463768115865,0.0,0.0,7.012868865069838,
51.35,-0.04710144927536225,0.0,0.0,7.0908754324215195,
51.35,-0.039130434782608636,0.0,0.0,7.210599307190955,
51.35,-0.031159420289854967,0.0,0.0,7.370007707639563,
51.35,-0.023188405797101352,0.0,0.0,7.566592898793305,
51.35,-0.015217391304347738,0.0,0.0,7.79754357412499,
